epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,205.002,2.00154,7.49496,0.94869,0.25209,0.57092,0.19385,0.08227,2.00079,6.0851,0.91196,0.000662651,0.000662651,0.000662651
2,397.306,1.96993,3.57619,0.93258,0.79,0.62788,0.6857,0.32761,1.9126,1.36341,0.90116,0.00128545,0.00128545,0.00128545
3,587.146,1.95487,2.08275,0.93743,0.6699,0.58811,0.60972,0.25765,1.93851,1.83227,0.90264,0.00186425,0.00186425,0.00186425
4,775.251,1.85241,1.54442,0.92092,0.76344,0.64255,0.70124,0.342,1.83832,1.41498,0.89784,0.001802,0.001802,0.001802
5,961.384,1.85611,1.38821,0.92438,0.78652,0.61229,0.70901,0.34524,1.87679,1.18473,0.89664,0.001736,0.001736,0.001736
6,1151.05,1.8027,1.29118,0.91436,0.71873,0.64613,0.68642,0.35981,1.78814,1.2532,0.89057,0.00167,0.00167,0.00167
7,1339.86,1.75041,1.2191,0.9046,0.7883,0.67335,0.72253,0.37478,1.83949,1.13517,0.8941,0.001604,0.001604,0.001604
8,1528.13,1.77299,1.21503,0.89776,0.78373,0.73281,0.77247,0.39397,1.76868,1.08003,0.87813,0.001538,0.001538,0.001538
9,1719.36,1.73498,1.16862,0.90069,0.80454,0.72239,0.79188,0.40274,1.77306,1.22787,0.88416,0.001472,0.001472,0.001472
10,1909.53,1.68389,1.10138,0.89513,0.79704,0.69628,0.77577,0.40288,1.71347,1.03347,0.87029,0.001406,0.001406,0.001406
11,2100.35,1.68103,1.09698,0.89155,0.82448,0.68911,0.76884,0.39259,1.80183,1.1149,0.87485,0.00134,0.00134,0.00134
12,2290.28,1.6728,1.08354,0.89497,0.80494,0.69172,0.7624,0.40706,1.72918,1.02391,0.87197,0.001274,0.001274,0.001274
13,2479.81,1.66279,1.05181,0.88663,0.82358,0.72564,0.81278,0.42595,1.73362,1.02598,0.86957,0.001208,0.001208,0.001208
14,2667.87,1.66202,1.03552,0.88378,0.79419,0.74081,0.79912,0.41641,1.76129,0.9571,0.87272,0.001142,0.001142,0.001142
15,2855.66,1.61787,0.99658,0.88055,0.85183,0.77436,0.8405,0.45831,1.63487,0.94776,0.86367,0.001076,0.001076,0.001076
16,3045.39,1.59005,0.97795,0.8749,0.77864,0.73066,0.78624,0.41534,1.69292,1.11222,0.86688,0.00101,0.00101,0.00101
17,3234.89,1.59953,0.97465,0.87621,0.84349,0.79913,0.85701,0.45536,1.69428,0.8783,0.86249,0.000944,0.000944,0.000944
18,3422.91,1.56835,0.94289,0.87092,0.86907,0.78797,0.86003,0.46939,1.63619,0.85955,0.86056,0.000878,0.000878,0.000878
19,3611.09,1.55353,0.92171,0.87255,0.85036,0.749,0.83624,0.46063,1.60955,0.87886,0.85903,0.000812,0.000812,0.000812
20,3797.59,1.54758,0.90317,0.87128,0.86105,0.77241,0.8475,0.4533,1.67441,0.8666,0.86375,0.000746,0.000746,0.000746
21,3988.31,1.5224,0.91772,0.87507,0.89708,0.77794,0.8592,0.47743,1.61817,0.83812,0.86244,0.00068,0.00068,0.00068
22,4172.93,1.51111,0.88212,0.88184,0.88252,0.77579,0.8606,0.47089,1.60586,0.8579,0.85805,0.000614,0.000614,0.000614
23,4358.06,1.48655,0.84695,0.87072,0.87023,0.79083,0.86731,0.48436,1.59944,0.84333,0.85422,0.000548,0.000548,0.000548
24,4542.73,1.47562,0.83371,0.87686,0.89414,0.79441,0.8675,0.47353,1.66232,0.83239,0.86226,0.000482,0.000482,0.000482
25,4726.42,1.4525,0.802,0.86817,0.89535,0.78447,0.87352,0.48993,1.5761,0.82909,0.85324,0.000416,0.000416,0.000416
26,4910.09,1.42967,0.79124,0.87287,0.88011,0.81507,0.87451,0.49084,1.57222,0.7887,0.85281,0.00035,0.00035,0.00035
27,5091.8,1.41629,0.77358,0.86177,0.89692,0.80405,0.88029,0.5044,1.56676,0.76583,0.85351,0.000284,0.000284,0.000284
28,5276.47,1.39909,0.76734,0.86012,0.89737,0.81304,0.88531,0.50107,1.55166,0.77131,0.8505,0.000218,0.000218,0.000218
29,5458.69,1.36826,0.73541,0.85667,0.88629,0.82072,0.88269,0.49917,1.57109,0.75347,0.85128,0.000152,0.000152,0.000152
30,5642.03,1.35162,0.71897,0.85082,0.89083,0.81734,0.88491,0.50376,1.53981,0.76031,0.84911,8.6e-05,8.6e-05,8.6e-05
